category_id,category_name_pt,category_name_en,translation_status,product_count,order_item_count,merchandise_value
__unknown__,unknown,unknown,unknown_source_category,610,1603,179535.28
agro_industria_e_comercio,agro_industria_e_comercio,agro_industry_and_commerce,source_translation,74,212,72530.47
alimentos,alimentos,food,source_translation,82,510,29393.41
alimentos_bebidas,alimentos_bebidas,food_drink,source_translation,104,278,15179.48
artes,artes,art,source_translation,55,209,24202.64
artes_e_artesanato,artes_e_artesanato,arts_and_craftmanship,source_translation,19,24,1814.01
artigos_de_festas,artigos_de_festas,party_supplies,source_translation,26,43,4485.18
artigos_de_natal,artigos_de_natal,christmas_supplies,source_translation,65,153,8800.82
audio,audio,audio,source_translation,58,364,50688.50
automotivo,automotivo,auto,source_translation,1900,4235,592720.11
bebes,bebes,baby,source_translation,919,3065,411764.89
bebidas,bebidas,drinks,source_translation,81,379,22428.70
beleza_saude,beleza_saude,health_beauty,source_translation,2444,9670,1258681.34
brinquedos,brinquedos,toys,source_translation,1411,4117,483946.60
cama_mesa_banho,cama_mesa_banho,bed_bath_table,source_translation,3029,11115,1036988.68
casa_conforto,casa_conforto,home_confort,source_translation,111,434,58572.04
casa_conforto_2,casa_conforto_2,home_comfort_2,source_translation,5,30,760.27
casa_construcao,casa_construcao,home_construction,source_translation,225,604,83088.12
cds_dvds_musicais,cds_dvds_musicais,cds_dvds_musicals,source_translation,1,14,730.00
cine_foto,cine_foto,cine_photo,source_translation,28,72,6933.46
climatizacao,climatizacao,air_conditioning,source_translation,124,297,55024.96
consoles_games,consoles_games,consoles_games,source_translation,317,1137,157465.22
construcao_ferramentas_construcao,construcao_ferramentas_construcao,construction_tools_construction,source_translation,400,929,144677.59
construcao_ferramentas_ferramentas,construcao_ferramentas_ferramentas,costruction_tools_tools,source_translation,39,103,15903.95
construcao_ferramentas_iluminacao,construcao_ferramentas_iluminacao,construction_tools_lights,source_translation,78,304,41080.00
construcao_ferramentas_jardim,construcao_ferramentas_jardim,costruction_tools_garden,source_translation,88,238,25715.89
construcao_ferramentas_seguranca,construcao_ferramentas_seguranca,construction_tools_safety,source_translation,91,194,40544.52
cool_stuff,cool_stuff,cool_stuff,source_translation,789,3796,635290.85
dvds_blu_ray,dvds_blu_ray,dvds_blu_ray,source_translation,48,64,5999.39
eletrodomesticos,eletrodomesticos,home_appliances,source_translation,370,771,80171.53
eletrodomesticos_2,eletrodomesticos_2,home_appliances_2,source_translation,90,238,113317.74
eletronicos,eletronicos,electronics,source_translation,517,2767,160246.74
eletroportateis,eletroportateis,small_appliances,source_translation,231,679,190648.58
esporte_lazer,esporte_lazer,sports_leisure,source_translation,2867,8641,988048.97
fashion_bolsas_e_acessorios,fashion_bolsas_e_acessorios,fashion_bags_accessories,source_translation,849,2031,152823.54
fashion_calcados,fashion_calcados,fashion_shoes,source_translation,173,262,23562.77
fashion_esporte,fashion_esporte,fashion_sport,source_translation,19,30,2119.51
fashion_roupa_feminina,fashion_roupa_feminina,fashio_female_clothing,source_translation,27,48,2803.64
fashion_roupa_infanto_juvenil,fashion_roupa_infanto_juvenil,fashion_childrens_clothes,source_translation,5,8,569.85
fashion_roupa_masculina,fashion_roupa_masculina,fashion_male_clothing,source_translation,95,132,10797.82
fashion_underwear_e_moda_praia,fashion_underwear_e_moda_praia,fashion_underwear_beach,source_translation,53,131,9541.55
ferramentas_jardim,ferramentas_jardim,garden_tools,source_translation,753,4347,485256.46
flores,flores,flowers,source_translation,14,33,1110.04
fraldas_higiene,fraldas_higiene,diapers_and_hygiene,source_translation,12,39,1567.59
industria_comercio_e_negocios,industria_comercio_e_negocios,industry_commerce_and_business,source_translation,68,268,39669.61
informatica_acessorios,informatica_acessorios,computers_accessories,source_translation,1639,7827,911954.32
instrumentos_musicais,instrumentos_musicais,musical_instruments,source_translation,289,680,191498.88
la_cuisine,la_cuisine,la_cuisine,source_translation,10,14,2054.99
livros_importados,livros_importados,books_imported,source_translation,31,60,4639.85
livros_interesse_geral,livros_interesse_geral,books_general_interest,source_translation,216,553,46856.88
livros_tecnicos,livros_tecnicos,books_technical,source_translation,123,267,19096.06
malas_acessorios,malas_acessorios,luggage_accessories,source_translation,349,1092,140429.98
market_place,market_place,market_place,source_translation,104,311,28378.47
moveis_colchao_e_estofado,moveis_colchao_e_estofado,furniture_mattress_and_upholstery,source_translation,10,38,4368.08
moveis_cozinha_area_de_servico_jantar_e_jardim,moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,source_translation,94,281,46328.37
moveis_decoracao,moveis_decoracao,furniture_decor,source_translation,2657,8334,729762.49
moveis_escritorio,moveis_escritorio,office_furniture,source_translation,309,1691,273960.70
moveis_quarto,moveis_quarto,furniture_bedroom,source_translation,45,109,20028.78
moveis_sala,moveis_sala,furniture_living_room,source_translation,156,503,68916.56
musica,musica,music,source_translation,27,38,6034.35
papelaria,papelaria,stationery,source_translation,849,2517,230943.23
pc_gamer,pc_gamer,pc_gamer,portuguese_source_fallback,3,9,1545.95
pcs,pcs,computers,source_translation,30,203,222963.13
perfumaria,perfumaria,perfumery,source_translation,868,3419,399124.87
pet_shop,pet_shop,pet_shop,source_translation,719,1947,214315.41
portateis_casa_forno_e_cafe,portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,source_translation,31,76,47445.71
portateis_cozinha_e_preparadores_de_alimentos,portateis_cozinha_e_preparadores_de_alimentos,portateis_cozinha_e_preparadores_de_alimentos,portuguese_source_fallback,10,15,3968.53
relogios_presentes,relogios_presentes,watches_gifts,source_translation,1329,5991,1205005.68
seguros_e_servicos,seguros_e_servicos,security_and_services,source_translation,2,2,283.29
sinalizacao_e_seguranca,sinalizacao_e_seguranca,signaling_and_security,source_translation,93,199,21509.23
tablets_impressao_imagem,tablets_impressao_imagem,tablets_printing_image,source_translation,9,83,7528.41
telefonia,telefonia,telephony,source_translation,1134,4545,323667.53
telefonia_fixa,telefonia_fixa,fixed_telephony,source_translation,116,264,59583.00
utilidades_domesticas,utilidades_domesticas,housewares,source_translation,2335,6964,632248.66
